Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
UP_NO,GO:0140014,mitotic nuclear division,9/157,253/17381,0.00049611,0.029194526,0.026762879,10051/1062/25836/25936/3192/324/5903/9585/9928,9
UP_NO,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",4/157,41/17381,0.000500199,0.029194526,0.026762879,140890/2332/3192/58517,4
UP_NO,GO:0140056,organelle localization by membrane tethering,7/157,155/17381,0.000522453,0.02976737,0.027288011,11064/132320/54536/55014/6814/6857/8615,7
UP_NO,GO:0032481,positive regulation of type I interferon production,5/157,75/17381,0.000585255,0.031857311,0.029203878,23586/29110/3428/7098/81030,5
UP_NO,GO:0006906,vesicle fusion,7/157,158/17381,0.000585759,0.031857311,0.029203878,219285/3799/54809/55014/6857/8411/8615,7
UP_NO,GO:1903901,negative regulation of viral life cycle,5/157,76/17381,0.000621959,0.03307441,0.030319603,117854/200316/3428/5610/85363,5
UP_NO,GO:0032204,regulation of telomere maintenance,5/157,78/17381,0.000700513,0.035237905,0.032302898,23049/3181/3192/4683/54464,5
UP_NO,GO:0090174,organelle membrane fusion,7/157,163/17381,0.000704695,0.035237905,0.032302898,219285/3799/54809/55014/6857/8411/8615,7
UP_NO,GO:0060760,positive regulation of response to cytokine stimulus,4/157,45/17381,0.000715609,0.035237905,0.032302898,117854/23586/54625/558,4
UP_NO,GO:0022406,membrane docking,7/157,164/17381,0.000730628,0.035237905,0.032302898,11064/132320/54536/55014/6814/6857/8615,7
UP_NO,GO:0002347,response to tumor cell,3/157,20/17381,0.00073627,0.035237905,0.032302898,10666/27303/3592,3
UP_NO,GO:0071478,cellular response to radiation,7/157,167/17381,0.000812989,0.03814673,0.034969444,10988/2332/25836/3428/468/5764/9683,7
UP_NO,GO:0032727,positive regulation of interferon-alpha production,3/157,21/17381,0.000853313,0.039268788,0.035998044,23586/29110/7098,3
UP_NO,GO:0098586,cellular response to virus,4/157,48/17381,0.000915152,0.040871055,0.037466857,117854/2332/23586/3592,4
UP_NO,GO:1903311,regulation of mRNA metabolic process,9/157,276/17381,0.000922289,0.040871055,0.037466857,140890/2332/3181/3192/54464/57703/58517/79811/87178,9
UP_NO,GO:0032480,negative regulation of type I interferon production,4/157,49/17381,0.000989559,0.043054834,0.039468746,23586/29110/51191/8887,4
UP_NO,GO:0045069,regulation of viral genome replication,5/157,85/17381,0.001034791,0.044218856,0.040535815,117854/200316/2332/3428/5610,5
UP_NO,GO:0002367,cytokine production involved in immune response,5/157,87/17381,0.001148965,0.048236359,0.044218696,10666/117854/1604/3592/7098,5
UP_NO,GO:0007059,chromosome segregation,10/157,346/17381,0.001212297,0.049353595,0.045242876,10051/1062/25836/25936/3192/324/5903/6249/79677/9928,10
UP_NO,GO:0001819,positive regulation of cytokine production,11/157,409/17381,0.001243843,0.049353595,0.045242876,10666/117854/23586/29110/3428/3592/4088/468/5610/7098/81030,11
UP_NO,GO:0039694,viral RNA genome replication,3/157,24/17381,0.001273052,0.049353595,0.045242876,200316/2332/8411,3
UP_NO,GO:0051642,centrosome localization,3/157,24/17381,0.001273052,0.049353595,0.045242876,3799/51199/5903,3
UP_NO,GO:1903900,regulation of viral life cycle,6/157,133/17381,0.001318571,0.049353595,0.045242876,117854/200316/2332/3428/5610/85363,6
UP_NO,GO:0000380,"alternative mRNA splicing, via spliceosome",4/157,53/17381,0.001329957,0.049353595,0.045242876,140890/2332/3192/58517,4
UP_NO,GO:0045071,negative regulation of viral genome replication,4/157,53/17381,0.001329957,0.049353595,0.045242876,117854/200316/3428/5610,4
UP_NO,GO:0050806,positive regulation of synaptic transmission,6/157,134/17381,0.001370257,0.049353595,0.045242876,22871/2332/3799/4915/5764/6857,6
UP_NO,GO:0048525,negative regulation of viral process,5/157,91/17381,0.001404966,0.049353595,0.045242876,117854/200316/3428/5610/85363,5
UP_NO,GO:0018208,peptidyl-proline modification,4/157,54/17381,0.001426365,0.049353595,0.045242876,10283/5903/85313/9360,4
UP_NO,GO:0002230,positive regulation of defense response to virus by host,3/157,25/17381,0.001437117,0.049353595,0.045242876,117854/200316/23586,3
UP_NO,GO:0061842,microtubule organizing center localization,3/157,25/17381,0.001437117,0.049353595,0.045242876,3799/51199/5903,3
UP_NO,GO:0061008,hepaticobiliary system development,6/157,136/17381,0.001478259,0.049353595,0.045242876,11231/25836/26019/4088/5764/87178,6
UP_NO,GO:0071214,cellular response to abiotic stimulus,9/157,296/17381,0.001500218,0.049353595,0.045242876,10988/2332/25836/3428/468/5764/7098/9683/9994,9
UP_NO,GO:0104004,cellular response to environmental stimulus,9/157,296/17381,0.001500218,0.049353595,0.045242876,10988/2332/25836/3428/468/5764/7098/9683/9994,9
UP_NO,GO:0040029,"regulation of gene expression, epigenetic",12/157,484/17381,0.001505563,0.049353595,0.045242876,2332/23347/27327/3181/3192/3428/4088/5903/7913/8087/8467/9077,12
UP_NO,GO:0098813,nuclear chromosome segregation,9/157,297/17381,0.001535386,0.049651052,0.045515558,10051/1062/25836/25936/3192/324/5903/6249/9928,9
NO_UP,GO:0006735,NADH regeneration,12/1009,25/17381,3.53E-09,5.80E-06,5.69E-06,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0061621,canonical glycolysis,12/1009,25/17381,3.53E-09,5.80E-06,5.69E-06,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0061718,glucose catabolic process to pyruvate,12/1009,25/17381,3.53E-09,5.80E-06,5.69E-06,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0061615,glycolytic process through fructose-6-phosphate,12/1009,26/17381,6.21E-09,6.12E-06,6.01E-06,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0061620,glycolytic process through glucose-6-phosphate,12/1009,26/17381,6.21E-09,6.12E-06,6.01E-06,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0006096,glycolytic process,23/1009,99/17381,8.00E-09,6.56E-06,6.44E-06,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,23
NO_UP,GO:0006757,ATP generation from ADP,23/1009,100/17381,9.83E-09,6.91E-06,6.78E-06,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,23
NO_UP,GO:0006165,nucleoside diphosphate phosphorylation,25/1009,117/17381,1.12E-08,6.91E-06,6.79E-06,10201/2023/2026/205/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,25
NO_UP,GO:0046031,ADP metabolic process,23/1009,105/17381,2.63E-08,1.44E-05,1.41E-05,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,23
NO_UP,GO:0046939,nucleotide phosphorylation,25/1009,123/17381,3.25E-08,1.60E-05,1.57E-05,10201/2023/2026/205/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,25
NO_UP,GO:0006007,glucose catabolic process,12/1009,31/17381,6.93E-08,3.10E-05,3.04E-05,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0009135,purine nucleoside diphosphate metabolic process,24/1009,121/17381,9.94E-08,3.76E-05,3.69E-05,1742/2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,24
NO_UP,GO:0009179,purine ribonucleoside diphosphate metabolic process,24/1009,121/17381,9.94E-08,3.76E-05,3.69E-05,1742/2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,24
NO_UP,GO:0016052,carbohydrate catabolic process,30/1009,178/17381,1.25E-07,4.38E-05,4.30E-05,1486/2023/2026/226/230/2538/256356/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5500/55556/5563/5837/7167/79660/8473,30
NO_UP,GO:0009185,ribonucleoside diphosphate metabolic process,24/1009,123/17381,1.37E-07,4.51E-05,4.43E-05,1742/2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,24
NO_UP,GO:0009132,nucleoside diphosphate metabolic process,26/1009,143/17381,1.84E-07,5.65E-05,5.55E-05,10201/1742/2023/2026/205/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473,26
NO_UP,GO:0006090,pyruvate metabolic process,25/1009,135/17381,2.19E-07,6.33E-05,6.22E-05,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5163/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/7167/8473/9123,25
NO_UP,GO:0006734,NADH metabolic process,12/1009,37/17381,6.57E-07,0.000179704,0.000176515,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/7167,12
NO_UP,GO:0036293,response to decreased oxygen levels,44/1009,349/17381,1.04E-06,0.000268421,0.000263658,10397/133/1385/2023/23411/26355/283/30001/3708/3777/3939/4017/405/4504/472/4842/5034/50507/5066/50809/5163/5230/5327/5351/5352/54541/54583/5465/5740/6095/64344/6532/655/664/665/7040/7248/7422/768/79625/8614/8837/8996/9520,44
NO_UP,GO:0001666,response to hypoxia,43/1009,341/17381,1.36E-06,0.000335811,0.000329853,10397/133/1385/2023/23411/26355/283/30001/3708/3777/3939/4017/405/4504/472/4842/5034/50507/5066/50809/5163/5230/5327/5351/5352/54541/54583/5465/5740/6095/64344/6532/655/664/665/7040/7422/768/79625/8614/8837/8996/9520,43
NO_UP,GO:0019674,NAD metabolic process,16/1009,70/17381,1.88E-06,0.000441444,0.000433611,2023/2026/226/230/2597/283209/3099/3939/5211/5214/5223/5230/5740/64802/7167/9390,16
NO_UP,GO:0006006,glucose metabolic process,29/1009,192/17381,2.09E-06,0.00046733,0.000459038,11188/1196/2023/2026/226/230/23411/2538/2597/2822/283209/3099/32/3643/4485/5163/5211/5214/5223/5230/5236/5290/5465/5500/5771/6095/7167/79660/8473,29
NO_UP,GO:0018126,protein hydroxylation,9/1009,23/17381,2.82E-06,0.000602599,0.000591907,283208/444/5033/5034/5351/5352/54583/55214/8974,9
NO_UP,GO:0019320,hexose catabolic process,13/1009,51/17381,4.75E-06,0.000929396,0.000912905,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/5236/7167,13
NO_UP,GO:0019362,pyridine nucleotide metabolic process,26/1009,169/17381,4.93E-06,0.000929396,0.000912905,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/5740/64802/7167/8473/9390,26
NO_UP,GO:0046496,nicotinamide nucleotide metabolic process,26/1009,169/17381,4.93E-06,0.000929396,0.000912905,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/5740/64802/7167/8473/9390,26
NO_UP,GO:0019318,hexose metabolic process,32/1009,233/17381,5.12E-06,0.000929396,0.000912905,11188/1196/2023/2026/226/230/23411/2538/2597/2822/283209/3099/32/3643/4351/4485/5163/5209/5210/5211/5214/5223/5230/5236/5290/5465/5500/5771/6095/7167/79660/8473,32
NO_UP,GO:0070482,response to oxygen levels,44/1009,371/17381,5.29E-06,0.000929396,0.000912905,10397/133/1385/2023/23411/26355/283/30001/3708/3777/3939/4017/405/4504/472/4842/5034/50507/5066/50809/5163/5230/5327/5351/5352/54541/54583/5465/5740/6095/64344/6532/655/664/665/7040/7248/7422/768/79625/8614/8837/8996/9520,44
NO_UP,GO:0072524,pyridine-containing compound metabolic process,26/1009,174/17381,8.47E-06,0.001436861,0.001411366,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/5740/64802/7167/8473/9390,26
NO_UP,GO:0005996,monosaccharide metabolic process,35/1009,274/17381,9.70E-06,0.001590945,0.001562716,11188/1196/2023/2026/226/230/23411/2538/2597/2822/283209/3099/32/3643/4351/4485/5163/5209/5210/5211/5214/5223/5230/5236/5290/5465/5500/5771/6095/6513/6515/7167/7366/79660/8473,35
NO_UP,GO:0060271,cilium assembly,40/1009,347/17381,2.72E-05,0.004317087,0.004240487,10806/129880/144132/199221/200162/23059/23224/25981/26140/27031/27152/27241/28981/2909/4117/51364/54558/54806/54874/55112/55142/55212/55559/57545/57560/57728/582/5991/65250/755/79441/79659/79809/79867/80127/83544/84140/84223/8481/9742,40
NO_UP,GO:0006733,oxidoreduction coenzyme metabolic process,26/1009,186/17381,2.81E-05,0.004324687,0.004247952,2023/2026/226/230/2597/283209/3099/3643/3939/405/5027/5209/5210/5211/5214/5223/5230/5236/54541/5465/5563/5740/64802/7167/8473/9390,26
NO_UP,GO:0046365,monosaccharide catabolic process,13/1009,61/17381,3.82E-05,0.005693306,0.005592287,2023/2026/226/230/2597/283209/3099/5211/5214/5223/5230/5236/7167,13
NO_UP,GO:0036294,cellular response to decreased oxygen levels,27/1009,201/17381,4.07E-05,0.005889438,0.005784938,10397/2023/23411/26355/30001/3777/405/4504/5034/50809/5163/5230/54583/5740/6095/64344/655/664/665/7248/7422/768/79625/8614/8837/8996/9520,27
NO_UP,GO:0044262,cellular carbohydrate metabolic process,31/1009,250/17381,5.46E-05,0.00753853,0.00740477,1196/23411/2538/256356/2632/2822/283209/2997/3099/32/3643/4485/51477/5163/5209/5210/5223/5236/54541/5465/5500/55556/5724/5745/5771/5837/6095/6513/7167/79660/8473,31
NO_UP,GO:0044782,cilium organization,40/1009,358/17381,5.51E-05,0.00753853,0.00740477,10806/129880/144132/199221/200162/23059/23224/25981/26140/27031/27152/27241/28981/2909/4117/51364/54558/54806/54874/55112/55142/55212/55559/57545/57560/57728/582/5991/65250/755/79441/79659/79809/79867/80127/83544/84140/84223/8481/9742,40
NO_UP,GO:0006094,gluconeogenesis,15/1009,81/17381,5.69E-05,0.007557201,0.00742311,1196/2023/2026/226/230/2538/2597/4485/5223/5230/5236/5465/5771/7167/8473,15
NO_UP,GO:0071456,cellular response to hypoxia,26/1009,194/17381,5.84E-05,0.007557201,0.00742311,10397/2023/23411/26355/30001/3777/405/4504/5034/50809/5163/5230/54583/5740/6095/64344/655/664/665/7422/768/79625/8614/8837/8996/9520,26
NO_UP,GO:0030198,extracellular matrix organization,38/1009,335/17381,6.08E-05,0.007666916,0.007530878,1289/1291/1292/1293/1294/1296/1301/1302/1515/2191/2200/2244/30001/30008/3674/3695/3696/3909/3913/4015/4017/4035/5033/56605/5747/58494/64856/6696/7040/7045/7087/79625/81577/83700/84695/8837/960/9719,38
NO_UP,GO:0016051,carbohydrate biosynthetic process,26/1009,195/17381,6.37E-05,0.007775521,0.007637556,1196/2023/2026/226/230/2538/2597/2632/283209/2997/3643/4485/51477/5223/5230/5236/5465/5500/5724/5745/5771/6513/7040/7167/79660/8473,26
NO_UP,GO:0043062,extracellular structure organization,38/1009,336/17381,6.48E-05,0.007775521,0.007637556,1289/1291/1292/1293/1294/1296/1301/1302/1515/2191/2200/2244/30001/30008/3674/3695/3696/3909/3913/4015/4017/4035/5033/56605/5747/58494/64856/6696/7040/7045/7087/79625/81577/83700/84695/8837/960/9719,38
NO_UP,GO:0019511,peptidyl-proline hydroxylation,6/1009,14/17381,7.56E-05,0.008655738,0.008502154,283208/5033/5034/54583/55214/8974,6
NO_UP,GO:0033169,histone H3-K9 demethylation,6/1009,14/17381,7.56E-05,0.008655738,0.008502154,221037/23030/23081/3299/55818/80853,6
NO_UP,GO:0019319,hexose biosynthetic process,15/1009,84/17381,8.79E-05,0.009831239,0.009656799,1196/2023/2026/226/230/2538/2597/4485/5223/5230/5236/5465/5771/7167/8473,15
NO_UP,GO:0071453,cellular response to oxygen levels,27/1009,217/17381,0.000152397,0.016665508,0.016369803,10397/2023/23411/26355/30001/3777/405/4504/5034/50809/5163/5230/54583/5740/6095/64344/655/664/665/7248/7422/768/79625/8614/8837/8996/9520,27
NO_UP,GO:0046364,monosaccharide biosynthetic process,15/1009,90/17381,0.000196304,0.021000312,0.020627693,1196/2023/2026/226/230/2538/2597/4485/5223/5230/5236/5465/5771/7167/8473,15
NO_UP,GO:0044275,cellular carbohydrate catabolic process,10/1009,45/17381,0.000206,0.021568676,0.021185972,2538/256356/283209/5223/5236/5500/55556/5837/7167/79660,10
NO_UP,GO:0006109,regulation of carbohydrate metabolic process,23/1009,176/17381,0.000222907,0.022852598,0.022447113,1196/23411/2822/32/3643/405/4485/5027/5163/5209/5210/5223/54541/5465/5500/5563/5724/5745/5771/6095/7040/79660/8473,23
NO_UP,GO:0018022,peptidyl-lysine methylation,17/1009,115/17381,0.000337549,0.033899544,0.033298047,151194/2145/23081/23411/25895/3720/51111/51742/546/54790/54904/55818/55870/55904/58508/6018/8473,17
NO_UP,GO:0019471,4-hydroxyproline metabolic process,5/1009,12/17381,0.000366758,0.036096313,0.035455837,30001/5033/5034/54583/56605,5
NO_UP,GO:0016570,histone modification,44/1009,444/17381,0.000375643,0.036195903,0.035553661,10336/10765/1107/114803/120892/2145/221037/23030/23081/23309/23411/23522/3275/3299/3622/3720/4504/4582/472/4842/51111/51742/546/54790/54904/55209/5563/55689/55818/55870/55904/58508/6018/6304/6907/7040/7422/79858/80312/80853/83933/84289/8473/8819,44
NO_UP,GO:0045821,positive regulation of glycolytic process,6/1009,18/17381,0.000382481,0.036195903,0.035553661,3643/405/5027/5209/5210/5563,6
NO_UP,GO:0044243,multicellular organismal catabolic process,13/1009,76/17381,0.000396206,0.036787369,0.036134632,1289/1291/1292/1293/1294/1296/1301/1302/2028/2191/5027/85007/9902,13
NO_UP,GO:0016571,histone methylation,18/1009,129/17381,0.000470254,0.042854088,0.042093706,2145/23081/23411/3275/3720/51111/51742/546/54790/54904/55818/55870/55904/58508/6018/6304/80312/8473,18
NO_UP,GO:0006479,protein methylation,22/1009,175/17381,0.000520997,0.045113156,0.04431269,115294/151194/2145/23081/23411/25895/3275/3720/51111/51742/546/54790/54904/55818/55870/55904/58508/5865/6018/6304/80312/8473,22
NO_UP,GO:0008213,protein alkylation,22/1009,175/17381,0.000520997,0.045113156,0.04431269,115294/151194/2145/23081/23411/25895/3275/3720/51111/51742/546/54790/54904/55818/55870/55904/58508/5865/6018/6304/80312/8473,22
NO_UP,GO:0051194,positive regulation of cofactor metabolic process,6/1009,19/17381,0.000531714,0.045113156,0.04431269,3643/405/5027/5209/5210/5563,6
NO_UP,GO:0051197,positive regulation of coenzyme metabolic process,6/1009,19/17381,0.000531714,0.045113156,0.04431269,3643/405/5027/5209/5210/5563,6
NO_UP,GO:1902166,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,5/1009,13/17381,0.000567574,0.047339538,0.046499568,23411/3622/4282/4582/960,5
DOWN_DOWN,GO:0009156,ribonucleoside monophosphate biosynthetic process,8/126,83/17381,1.53E-07,0.000407085,0.000340174,1537/471/513/516/7371/7415/790/9551,8
DOWN_DOWN,GO:0009124,nucleoside monophosphate biosynthetic process,8/126,93/17381,3.71E-07,0.000494727,0.000413411,1537/471/513/516/7371/7415/790/9551,8
DOWN_DOWN,GO:0005996,monosaccharide metabolic process,12/126,274/17381,7.32E-07,0.000650638,0.000543696,1374/2519/2539/2806/4125/4190/4191/51084/51763/6888/7262/9446,12
DOWN_DOWN,GO:0006107,oxaloacetate metabolic process,4/126,12/17381,1.25E-06,0.000831061,0.000694464,2806/4190/4191/47,4
DOWN_DOWN,GO:0006839,mitochondrial transport,12/126,307/17381,2.40E-06,0.001283244,0.001072323,10105/1374/1537/292/3280/513/516/5250/637/92609/9277/9551,12
DOWN_DOWN,GO:0015980,energy derivation by oxidation of organic compounds,11/126,266/17381,3.77E-06,0.001676535,0.001400971,10514/1537/4190/4191/4609/51763/5499/637/7262/7316/7415,11
DOWN_DOWN,GO:0009201,ribonucleoside triphosphate biosynthetic process,6/126,65/17381,7.50E-06,0.002857224,0.002387596,1537/513/516/7371/7415/9551,6
DOWN_DOWN,GO:0042776,mitochondrial ATP synthesis coupled proton transport,4/126,19/17381,9.38E-06,0.003128199,0.002614032,1537/513/516/9551,4
DOWN_DOWN,GO:0009127,purine nucleoside monophosphate biosynthetic process,6/126,71/17381,1.25E-05,0.00334713,0.002796978,1537/471/513/516/7415/9551,6
DOWN_DOWN,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,6/126,71/17381,1.25E-05,0.00334713,0.002796978,1537/471/513/516/7415/9551,6
